name,E_Pa,Sy_Pa
Carbon Steel A36,200000000000.0,250000000.0
Carbon Steel 1045,205000000000.0,530000000.0
Carbon Steel 1095,205000000000.0,800000000.0
Alloy Steel 4140 (QT),210000000000.0,655000000.0
Alloy Steel 4340 (QT),210000000000.0,1000000000.0
HSLA Steel A572 Gr50,200000000000.0,345000000.0
HSLA Steel A992,200000000000.0,345000000.0
Tool Steel D2,210000000000.0,550000000.0
Tool Steel H13,210000000000.0,1400000000.0
Spring Steel 5160,205000000000.0,1550000000.0
Stainless Steel 304,193000000000.0,215000000.0
Stainless Steel 316,193000000000.0,290000000.0
Stainless Steel 410,200000000000.0,275000000.0
Stainless Steel 420,200000000000.0,500000000.0
Stainless Steel 17-4PH,196000000000.0,1100000000.0
Aluminum 1100-O,69000000000.0,34000000.0
Aluminum 2024-T3,73000000000.0,320000000.0
Aluminum 5052-H32,70000000000.0,193000000.0
Aluminum 6061-T6,69000000000.0,270000000.0
Aluminum 7075-T6,72000000000.0,500000000.0
Titanium Grade 2,105000000000.0,340000000.0
Titanium Ti-6Al-4V,114000000000.0,880000000.0
Inconel 625,205000000000.0,760000000.0
Inconel 718,210000000000.0,1000000000.0
Monel 400,179000000000.0,170000000.0
Hastelloy C-276,206000000000.0,350000000.0
Copper C11000,110000000000.0,70000000.0
Brass 260,100000000000.0,200000000.0
Bronze (Phosphor),110000000000.0,240000000.0
Magnesium AZ31B,45000000000.0,200000000.0
Zinc,108000000000.0,55000000.0
Lead,16000000000.0,12000000.0
Tungsten,400000000000.0,550000000.0
Molybdenum,330000000000.0,550000000.0
Beryllium,287000000000.0,240000000.0
ABS,2000000000.0,35000000.0
Acrylic (PMMA),3200000000.0,60000000.0
Polycarbonate,2300000000.0,70000000.0
Nylon 6/6,2800000000.0,70000000.0
POM (Delrin),3000000000.0,69000000.0
PEEK,3600000000.0,90000000.0
HDPE,1000000000.0,25000000.0
LDPE,2000000000.0,20000000.0
PP (Polypropylene),1500000000.0,30000000.0
PTFE (Teflon),500000000.0,20000000.0
PVC (Rigid),2900000000.0,55000000.0
Carbon Fiber/Epoxy (UD),145000000000.0,600000000.0
Carbon Fiber/Epoxy (Woven),70000000000.0,400000000.0
Glass Fiber/Epoxy (E-glass),40000000000.0,350000000.0
Kevlar/Epoxy,70000000000.0,360000000.0
G10/FR4,24000000000.0,310000000.0
"Alumina (Al2O3, 95%)",300000000000.0,250000000.0
Zirconia (Y-TZP),210000000000.0,1200000000.0
Silicon Carbide (SiC),450000000000.0,400000000.0
Silicon Nitride (Si3N4),305000000000.0,800000000.0
Glass (Soda-lime),70000000000.0,100000000.0
Glass (Borosilicate),64000000000.0,120000000.0
Fused Silica,72000000000.0,50000000.0
Concrete (Normal Strength),30000000000.0,30000000.0
Concrete (High Strength),40000000000.0,60000000.0
Mortar,15000000000.0,15000000.0
Wood (Pine),8000000000.0,40000000.0
Wood (Douglas Fir),12000000000.0,50000000.0
Wood (Oak),11000000000.0,60000000.0
Wood (Maple),11000000000.0,60000000.0
Wood (Birch),10500000000.0,55000000.0
Wood (Teak),12000000000.0,60000000.0
Bamboo,11000000000.0,160000000.0
Carbon Steel A36 Var1,200000000000.0,250000000.0
Carbon Steel 1045 Var1,205000000000.0,530000000.0
Carbon Steel 1095 Var1,205000000000.0,800000000.0
Alloy Steel 4140 (QT) Var1,210000000000.0,655000000.0
Alloy Steel 4340 (QT) Var1,210000000000.0,1000000000.0
HSLA Steel A572 Gr50 Var1,200000000000.0,345000000.0
HSLA Steel A992 Var1,200000000000.0,345000000.0
Tool Steel D2 Var1,210000000000.0,550000000.0
Tool Steel H13 Var1,210000000000.0,1400000000.0
Spring Steel 5160 Var1,205000000000.0,1550000000.0
Stainless Steel 304 Var1,193000000000.0,215000000.0
Stainless Steel 316 Var1,193000000000.0,290000000.0
Stainless Steel 410 Var1,200000000000.0,275000000.0
Stainless Steel 420 Var1,200000000000.0,500000000.0
Stainless Steel 17-4PH Var1,196000000000.0,1100000000.0
Aluminum 1100-O Var1,69000000000.0,34000000.0
Aluminum 2024-T3 Var1,73000000000.0,320000000.0
Aluminum 5052-H32 Var1,70000000000.0,193000000.0
Aluminum 6061-T6 Var1,69000000000.0,270000000.0
Aluminum 7075-T6 Var1,72000000000.0,500000000.0
Titanium Grade 2 Var1,105000000000.0,340000000.0
Titanium Ti-6Al-4V Var1,114000000000.0,880000000.0
Inconel 625 Var1,205000000000.0,760000000.0
Inconel 718 Var1,210000000000.0,1000000000.0
Monel 400 Var1,179000000000.0,170000000.0
Hastelloy C-276 Var1,206000000000.0,350000000.0
Copper C11000 Var1,110000000000.0,70000000.0
Brass 260 Var1,100000000000.0,200000000.0
Bronze (Phosphor) Var1,110000000000.0,240000000.0
Magnesium AZ31B Var1,45000000000.0,200000000.0
Zinc Var1,108000000000.0,55000000.0
Lead Var1,16000000000.0,12000000.0
Tungsten Var1,400000000000.0,550000000.0
Molybdenum Var1,330000000000.0,550000000.0
Beryllium Var1,287000000000.0,240000000.0
ABS Var1,2000000000.0,35000000.0
Acrylic (PMMA) Var1,3200000000.0,60000000.0
Polycarbonate Var1,2300000000.0,70000000.0
Nylon 6/6 Var1,2800000000.0,70000000.0
POM (Delrin) Var1,3000000000.0,69000000.0
PEEK Var1,3600000000.0,90000000.0
HDPE Var1,1000000000.0,25000000.0
LDPE Var1,2000000000.0,20000000.0
PP (Polypropylene) Var1,1500000000.0,30000000.0
PTFE (Teflon) Var1,500000000.0,20000000.0
PVC (Rigid) Var1,2900000000.0,55000000.0
Carbon Fiber/Epoxy (UD) Var1,145000000000.0,600000000.0
Carbon Fiber/Epoxy (Woven) Var1,70000000000.0,400000000.0
Glass Fiber/Epoxy (E-glass) Var1,40000000000.0,350000000.0
Kevlar/Epoxy Var1,70000000000.0,360000000.0
G10/FR4 Var1,24000000000.0,310000000.0
"Alumina (Al2O3, 95%) Var1",300000000000.0,250000000.0
Zirconia (Y-TZP) Var1,210000000000.0,1200000000.0
Silicon Carbide (SiC) Var1,450000000000.0,400000000.0
Silicon Nitride (Si3N4) Var1,305000000000.0,800000000.0
Glass (Soda-lime) Var1,70000000000.0,100000000.0
Glass (Borosilicate) Var1,64000000000.0,120000000.0
Fused Silica Var1,72000000000.0,50000000.0
Concrete (Normal Strength) Var1,30000000000.0,30000000.0
Concrete (High Strength) Var1,40000000000.0,60000000.0
Mortar Var1,15000000000.0,15000000.0
Wood (Pine) Var1,8000000000.0,40000000.0
Wood (Douglas Fir) Var1,12000000000.0,50000000.0
Wood (Oak) Var1,11000000000.0,60000000.0
Wood (Maple) Var1,11000000000.0,60000000.0
Wood (Birch) Var1,10500000000.0,55000000.0
Wood (Teak) Var1,12000000000.0,60000000.0
Bamboo Var1,11000000000.0,160000000.0
Carbon Steel A36 Var2,200000000000.0,250000000.0
Carbon Steel 1045 Var2,205000000000.0,530000000.0
Carbon Steel 1095 Var2,205000000000.0,800000000.0
Alloy Steel 4140 (QT) Var2,210000000000.0,655000000.0
Alloy Steel 4340 (QT) Var2,210000000000.0,1000000000.0
HSLA Steel A572 Gr50 Var2,200000000000.0,345000000.0
HSLA Steel A992 Var2,200000000000.0,345000000.0
Tool Steel D2 Var2,210000000000.0,550000000.0
Tool Steel H13 Var2,210000000000.0,1400000000.0
Spring Steel 5160 Var2,205000000000.0,1550000000.0
Stainless Steel 304 Var2,193000000000.0,215000000.0
Stainless Steel 316 Var2,193000000000.0,290000000.0
Stainless Steel 410 Var2,200000000000.0,275000000.0
Stainless Steel 420 Var2,200000000000.0,500000000.0
Stainless Steel 17-4PH Var2,196000000000.0,1100000000.0
Aluminum 1100-O Var2,69000000000.0,34000000.0
Aluminum 2024-T3 Var2,73000000000.0,320000000.0
Aluminum 5052-H32 Var2,70000000000.0,193000000.0
Aluminum 6061-T6 Var2,69000000000.0,270000000.0
Aluminum 7075-T6 Var2,72000000000.0,500000000.0
Titanium Grade 2 Var2,105000000000.0,340000000.0
Titanium Ti-6Al-4V Var2,114000000000.0,880000000.0
Inconel 625 Var2,205000000000.0,760000000.0
Inconel 718 Var2,210000000000.0,1000000000.0
Monel 400 Var2,179000000000.0,170000000.0
Hastelloy C-276 Var2,206000000000.0,350000000.0
Copper C11000 Var2,110000000000.0,70000000.0
Brass 260 Var2,100000000000.0,200000000.0
Bronze (Phosphor) Var2,110000000000.0,240000000.0
Magnesium AZ31B Var2,45000000000.0,200000000.0
Zinc Var2,108000000000.0,55000000.0
Lead Var2,16000000000.0,12000000.0
Tungsten Var2,400000000000.0,550000000.0
Molybdenum Var2,330000000000.0,550000000.0
Beryllium Var2,287000000000.0,240000000.0
ABS Var2,2000000000.0,35000000.0
Acrylic (PMMA) Var2,3200000000.0,60000000.0
Polycarbonate Var2,2300000000.0,70000000.0
Nylon 6/6 Var2,2800000000.0,70000000.0
POM (Delrin) Var2,3000000000.0,69000000.0
PEEK Var2,3600000000.0,90000000.0
HDPE Var2,1000000000.0,25000000.0
LDPE Var2,2000000000.0,20000000.0
PP (Polypropylene) Var2,1500000000.0,30000000.0
PTFE (Teflon) Var2,500000000.0,20000000.0
PVC (Rigid) Var2,2900000000.0,55000000.0
Carbon Fiber/Epoxy (UD) Var2,145000000000.0,600000000.0
Carbon Fiber/Epoxy (Woven) Var2,70000000000.0,400000000.0
Glass Fiber/Epoxy (E-glass) Var2,40000000000.0,350000000.0
Kevlar/Epoxy Var2,70000000000.0,360000000.0
G10/FR4 Var2,24000000000.0,310000000.0
"Alumina (Al2O3, 95%) Var2",300000000000.0,250000000.0
Zirconia (Y-TZP) Var2,210000000000.0,1200000000.0
Silicon Carbide (SiC) Var2,450000000000.0,400000000.0
Silicon Nitride (Si3N4) Var2,305000000000.0,800000000.0
Glass (Soda-lime) Var2,70000000000.0,100000000.0
Glass (Borosilicate) Var2,64000000000.0,120000000.0
Fused Silica Var2,72000000000.0,50000000.0
Concrete (Normal Strength) Var2,30000000000.0,30000000.0
Concrete (High Strength) Var2,40000000000.0,60000000.0
Mortar Var2,15000000000.0,15000000.0
Wood (Pine) Var2,8000000000.0,40000000.0
Wood (Douglas Fir) Var2,12000000000.0,50000000.0
Wood (Oak) Var2,11000000000.0,60000000.0
Wood (Maple) Var2,11000000000.0,60000000.0
Wood (Birch) Var2,10500000000.0,55000000.0
Wood (Teak) Var2,12000000000.0,60000000.0
Bamboo Var2,11000000000.0,160000000.0
Carbon Steel A36 Var3,200000000000.0,250000000.0
Carbon Steel 1045 Var3,205000000000.0,530000000.0
Carbon Steel 1095 Var3,205000000000.0,800000000.0
Alloy Steel 4140 (QT) Var3,210000000000.0,655000000.0
Alloy Steel 4340 (QT) Var3,210000000000.0,1000000000.0
HSLA Steel A572 Gr50 Var3,200000000000.0,345000000.0
HSLA Steel A992 Var3,200000000000.0,345000000.0
Tool Steel D2 Var3,210000000000.0,550000000.0
Tool Steel H13 Var3,210000000000.0,1400000000.0
Spring Steel 5160 Var3,205000000000.0,1550000000.0
Stainless Steel 304 Var3,193000000000.0,215000000.0
Stainless Steel 316 Var3,193000000000.0,290000000.0
Stainless Steel 410 Var3,200000000000.0,275000000.0
Stainless Steel 420 Var3,200000000000.0,500000000.0
Stainless Steel 17-4PH Var3,196000000000.0,1100000000.0
Aluminum 1100-O Var3,69000000000.0,34000000.0
Aluminum 2024-T3 Var3,73000000000.0,320000000.0
Aluminum 5052-H32 Var3,70000000000.0,193000000.0
Aluminum 6061-T6 Var3,69000000000.0,270000000.0
Aluminum 7075-T6 Var3,72000000000.0,500000000.0
Titanium Grade 2 Var3,105000000000.0,340000000.0
Titanium Ti-6Al-4V Var3,114000000000.0,880000000.0
Inconel 625 Var3,205000000000.0,760000000.0
Inconel 718 Var3,210000000000.0,1000000000.0
Monel 400 Var3,179000000000.0,170000000.0
Hastelloy C-276 Var3,206000000000.0,350000000.0
Copper C11000 Var3,110000000000.0,70000000.0
Brass 260 Var3,100000000000.0,200000000.0
Bronze (Phosphor) Var3,110000000000.0,240000000.0
Magnesium AZ31B Var3,45000000000.0,200000000.0
Zinc Var3,108000000000.0,55000000.0
Lead Var3,16000000000.0,12000000.0
Tungsten Var3,400000000000.0,550000000.0
Molybdenum Var3,330000000000.0,550000000.0
Beryllium Var3,287000000000.0,240000000.0
ABS Var3,2000000000.0,35000000.0
Acrylic (PMMA) Var3,3200000000.0,60000000.0
Polycarbonate Var3,2300000000.0,70000000.0
Nylon 6/6 Var3,2800000000.0,70000000.0
POM (Delrin) Var3,3000000000.0,69000000.0
PEEK Var3,3600000000.0,90000000.0
HDPE Var3,1000000000.0,25000000.0
LDPE Var3,2000000000.0,20000000.0
PP (Polypropylene) Var3,1500000000.0,30000000.0
PTFE (Teflon) Var3,500000000.0,20000000.0
PVC (Rigid) Var3,2900000000.0,55000000.0
Carbon Fiber/Epoxy (UD) Var3,145000000000.0,600000000.0
Carbon Fiber/Epoxy (Woven) Var3,70000000000.0,400000000.0
Glass Fiber/Epoxy (E-glass) Var3,40000000000.0,350000000.0
Kevlar/Epoxy Var3,70000000000.0,360000000.0
G10/FR4 Var3,24000000000.0,310000000.0
"Alumina (Al2O3, 95%) Var3",300000000000.0,250000000.0
Zirconia (Y-TZP) Var3,210000000000.0,1200000000.0
Silicon Carbide (SiC) Var3,450000000000.0,400000000.0
Silicon Nitride (Si3N4) Var3,305000000000.0,800000000.0
Glass (Soda-lime) Var3,70000000000.0,100000000.0
Glass (Borosilicate) Var3,64000000000.0,120000000.0
Fused Silica Var3,72000000000.0,50000000.0
Concrete (Normal Strength) Var3,30000000000.0,30000000.0
Concrete (High Strength) Var3,40000000000.0,60000000.0
Mortar Var3,15000000000.0,15000000.0
Wood (Pine) Var3,8000000000.0,40000000.0
Wood (Douglas Fir) Var3,12000000000.0,50000000.0
Wood (Oak) Var3,11000000000.0,60000000.0
Wood (Maple) Var3,11000000000.0,60000000.0
Wood (Birch) Var3,10500000000.0,55000000.0
Wood (Teak) Var3,12000000000.0,60000000.0
Bamboo Var3,11000000000.0,160000000.0
Carbon Steel A36 Var4,200000000000.0,250000000.0
Carbon Steel 1045 Var4,205000000000.0,530000000.0
Carbon Steel 1095 Var4,205000000000.0,800000000.0
