name,E_Pa,Sy_Pa
Alloy Steel 4140 (QT) Var4,210000000000.0,655000000.0
Alloy Steel 4340 (QT) Var4,210000000000.0,1000000000.0
HSLA Steel A572 Gr50 Var4,200000000000.0,345000000.0
HSLA Steel A992 Var4,200000000000.0,345000000.0
Tool Steel D2 Var4,210000000000.0,550000000.0
Tool Steel H13 Var4,210000000000.0,1400000000.0
Spring Steel 5160 Var4,205000000000.0,1550000000.0
Stainless Steel 304 Var4,193000000000.0,215000000.0
Stainless Steel 316 Var4,193000000000.0,290000000.0
Stainless Steel 410 Var4,200000000000.0,275000000.0
Stainless Steel 420 Var4,200000000000.0,500000000.0
Stainless Steel 17-4PH Var4,196000000000.0,1100000000.0
Aluminum 1100-O Var4,69000000000.0,34000000.0
Aluminum 2024-T3 Var4,73000000000.0,320000000.0
Aluminum 5052-H32 Var4,70000000000.0,193000000.0
Aluminum 6061-T6 Var4,69000000000.0,270000000.0
Aluminum 7075-T6 Var4,72000000000.0,500000000.0
Titanium Grade 2 Var4,105000000000.0,340000000.0
Titanium Ti-6Al-4V Var4,114000000000.0,880000000.0
Inconel 625 Var4,205000000000.0,760000000.0
Inconel 718 Var4,210000000000.0,1000000000.0
Monel 400 Var4,179000000000.0,170000000.0
Hastelloy C-276 Var4,206000000000.0,350000000.0
Copper C11000 Var4,110000000000.0,70000000.0
Brass 260 Var4,100000000000.0,200000000.0
Bronze (Phosphor) Var4,110000000000.0,240000000.0
Magnesium AZ31B Var4,45000000000.0,200000000.0
Zinc Var4,108000000000.0,55000000.0
Lead Var4,16000000000.0,12000000.0
Tungsten Var4,400000000000.0,550000000.0
Molybdenum Var4,330000000000.0,550000000.0
Beryllium Var4,287000000000.0,240000000.0
ABS Var4,2000000000.0,35000000.0
Acrylic (PMMA) Var4,3200000000.0,60000000.0
Polycarbonate Var4,2300000000.0,70000000.0
Nylon 6/6 Var4,2800000000.0,70000000.0
POM (Delrin) Var4,3000000000.0,69000000.0
PEEK Var4,3600000000.0,90000000.0
HDPE Var4,1000000000.0,25000000.0
LDPE Var4,2000000000.0,20000000.0
PP (Polypropylene) Var4,1500000000.0,30000000.0
PTFE (Teflon) Var4,500000000.0,20000000.0
PVC (Rigid) Var4,2900000000.0,55000000.0
Carbon Fiber/Epoxy (UD) Var4,145000000000.0,600000000.0
Carbon Fiber/Epoxy (Woven) Var4,70000000000.0,400000000.0
Glass Fiber/Epoxy (E-glass) Var4,40000000000.0,350000000.0
Kevlar/Epoxy Var4,70000000000.0,360000000.0
G10/FR4 Var4,24000000000.0,310000000.0
"Alumina (Al2O3, 95%) Var4",300000000000.0,250000000.0
Zirconia (Y-TZP) Var4,210000000000.0,1200000000.0
Silicon Carbide (SiC) Var4,450000000000.0,400000000.0
Silicon Nitride (Si3N4) Var4,305000000000.0,800000000.0
Glass (Soda-lime) Var4,70000000000.0,100000000.0
Glass (Borosilicate) Var4,64000000000.0,120000000.0
Fused Silica Var4,72000000000.0,50000000.0
Concrete (Normal Strength) Var4,30000000000.0,30000000.0
Concrete (High Strength) Var4,40000000000.0,60000000.0
Mortar Var4,15000000000.0,15000000.0
Wood (Pine) Var4,8000000000.0,40000000.0
Wood (Douglas Fir) Var4,12000000000.0,50000000.0
Wood (Oak) Var4,11000000000.0,60000000.0
Wood (Maple) Var4,11000000000.0,60000000.0
Wood (Birch) Var4,10500000000.0,55000000.0
Wood (Teak) Var4,12000000000.0,60000000.0
Bamboo Var4,11000000000.0,160000000.0
Carbon Steel A36 Var5,200000000000.0,250000000.0
Carbon Steel 1045 Var5,205000000000.0,530000000.0
Carbon Steel 1095 Var5,205000000000.0,800000000.0
Alloy Steel 4140 (QT) Var5,210000000000.0,655000000.0
Alloy Steel 4340 (QT) Var5,210000000000.0,1000000000.0
HSLA Steel A572 Gr50 Var5,200000000000.0,345000000.0
HSLA Steel A992 Var5,200000000000.0,345000000.0
Tool Steel D2 Var5,210000000000.0,550000000.0
Tool Steel H13 Var5,210000000000.0,1400000000.0
Spring Steel 5160 Var5,205000000000.0,1550000000.0
Stainless Steel 304 Var5,193000000000.0,215000000.0
Stainless Steel 316 Var5,193000000000.0,290000000.0
Stainless Steel 410 Var5,200000000000.0,275000000.0
Stainless Steel 420 Var5,200000000000.0,500000000.0
Stainless Steel 17-4PH Var5,196000000000.0,1100000000.0
Aluminum 1100-O Var5,69000000000.0,34000000.0
Aluminum 2024-T3 Var5,73000000000.0,320000000.0
Aluminum 5052-H32 Var5,70000000000.0,193000000.0
Aluminum 6061-T6 Var5,69000000000.0,270000000.0
Aluminum 7075-T6 Var5,72000000000.0,500000000.0
Titanium Grade 2 Var5,105000000000.0,340000000.0
Titanium Ti-6Al-4V Var5,114000000000.0,880000000.0
Inconel 625 Var5,205000000000.0,760000000.0
Inconel 718 Var5,210000000000.0,1000000000.0
Monel 400 Var5,179000000000.0,170000000.0
Hastelloy C-276 Var5,206000000000.0,350000000.0
Copper C11000 Var5,110000000000.0,70000000.0
Brass 260 Var5,100000000000.0,200000000.0
Bronze (Phosphor) Var5,110000000000.0,240000000.0
Magnesium AZ31B Var5,45000000000.0,200000000.0
Zinc Var5,108000000000.0,55000000.0
Lead Var5,16000000000.0,12000000.0
Tungsten Var5,400000000000.0,550000000.0
Molybdenum Var5,330000000000.0,550000000.0
Beryllium Var5,287000000000.0,240000000.0
ABS Var5,2000000000.0,35000000.0
Acrylic (PMMA) Var5,3200000000.0,60000000.0
Polycarbonate Var5,2300000000.0,70000000.0
Nylon 6/6 Var5,2800000000.0,70000000.0
POM (Delrin) Var5,3000000000.0,69000000.0
PEEK Var5,3600000000.0,90000000.0
HDPE Var5,1000000000.0,25000000.0
LDPE Var5,2000000000.0,20000000.0
PP (Polypropylene) Var5,1500000000.0,30000000.0
PTFE (Teflon) Var5,500000000.0,20000000.0
PVC (Rigid) Var5,2900000000.0,55000000.0
Carbon Fiber/Epoxy (UD) Var5,145000000000.0,600000000.0
Carbon Fiber/Epoxy (Woven) Var5,70000000000.0,400000000.0
Glass Fiber/Epoxy (E-glass) Var5,40000000000.0,350000000.0
Kevlar/Epoxy Var5,70000000000.0,360000000.0
G10/FR4 Var5,24000000000.0,310000000.0
"Alumina (Al2O3, 95%) Var5",300000000000.0,250000000.0
Zirconia (Y-TZP) Var5,210000000000.0,1200000000.0
Silicon Carbide (SiC) Var5,450000000000.0,400000000.0
Silicon Nitride (Si3N4) Var5,305000000000.0,800000000.0
Glass (Soda-lime) Var5,70000000000.0,100000000.0
Glass (Borosilicate) Var5,64000000000.0,120000000.0
Fused Silica Var5,72000000000.0,50000000.0
Concrete (Normal Strength) Var5,30000000000.0,30000000.0
Concrete (High Strength) Var5,40000000000.0,60000000.0
Mortar Var5,15000000000.0,15000000.0
Wood (Pine) Var5,8000000000.0,40000000.0
Wood (Douglas Fir) Var5,12000000000.0,50000000.0
Wood (Oak) Var5,11000000000.0,60000000.0
Wood (Maple) Var5,11000000000.0,60000000.0
Wood (Birch) Var5,10500000000.0,55000000.0
Wood (Teak) Var5,12000000000.0,60000000.0
Bamboo Var5,11000000000.0,160000000.0
Carbon Steel A36 Var6,200000000000.0,250000000.0
Carbon Steel 1045 Var6,205000000000.0,530000000.0
Carbon Steel 1095 Var6,205000000000.0,800000000.0
Alloy Steel 4140 (QT) Var6,210000000000.0,655000000.0
Alloy Steel 4340 (QT) Var6,210000000000.0,1000000000.0
HSLA Steel A572 Gr50 Var6,200000000000.0,345000000.0
HSLA Steel A992 Var6,200000000000.0,345000000.0
Tool Steel D2 Var6,210000000000.0,550000000.0
Tool Steel H13 Var6,210000000000.0,1400000000.0
Spring Steel 5160 Var6,205000000000.0,1550000000.0
Stainless Steel 304 Var6,193000000000.0,215000000.0
Stainless Steel 316 Var6,193000000000.0,290000000.0
Stainless Steel 410 Var6,200000000000.0,275000000.0
Stainless Steel 420 Var6,200000000000.0,500000000.0
Stainless Steel 17-4PH Var6,196000000000.0,1100000000.0
Aluminum 1100-O Var6,69000000000.0,34000000.0
Aluminum 2024-T3 Var6,73000000000.0,320000000.0
Aluminum 5052-H32 Var6,70000000000.0,193000000.0
Aluminum 6061-T6 Var6,69000000000.0,270000000.0
Aluminum 7075-T6 Var6,72000000000.0,500000000.0
Titanium Grade 2 Var6,105000000000.0,340000000.0
Titanium Ti-6Al-4V Var6,114000000000.0,880000000.0
Inconel 625 Var6,205000000000.0,760000000.0
Inconel 718 Var6,210000000000.0,1000000000.0
Monel 400 Var6,179000000000.0,170000000.0
Hastelloy C-276 Var6,206000000000.0,350000000.0
Copper C11000 Var6,110000000000.0,70000000.0
Brass 260 Var6,100000000000.0,200000000.0
Bronze (Phosphor) Var6,110000000000.0,240000000.0
Magnesium AZ31B Var6,45000000000.0,200000000.0
Zinc Var6,108000000000.0,55000000.0
Lead Var6,16000000000.0,12000000.0
Tungsten Var6,400000000000.0,550000000.0
Molybdenum Var6,330000000000.0,550000000.0
Beryllium Var6,287000000000.0,240000000.0
ABS Var6,2000000000.0,35000000.0
Acrylic (PMMA) Var6,3200000000.0,60000000.0
Polycarbonate Var6,2300000000.0,70000000.0
Nylon 6/6 Var6,2800000000.0,70000000.0
POM (Delrin) Var6,3000000000.0,69000000.0
PEEK Var6,3600000000.0,90000000.0
HDPE Var6,1000000000.0,25000000.0
LDPE Var6,2000000000.0,20000000.0
PP (Polypropylene) Var6,1500000000.0,30000000.0
PTFE (Teflon) Var6,500000000.0,20000000.0
PVC (Rigid) Var6,2900000000.0,55000000.0
Carbon Fiber/Epoxy (UD) Var6,145000000000.0,600000000.0
Carbon Fiber/Epoxy (Woven) Var6,70000000000.0,400000000.0
Glass Fiber/Epoxy (E-glass) Var6,40000000000.0,350000000.0
Kevlar/Epoxy Var6,70000000000.0,360000000.0
G10/FR4 Var6,24000000000.0,310000000.0
"Alumina (Al2O3, 95%) Var6",300000000000.0,250000000.0
Zirconia (Y-TZP) Var6,210000000000.0,1200000000.0
Silicon Carbide (SiC) Var6,450000000000.0,400000000.0
Silicon Nitride (Si3N4) Var6,305000000000.0,800000000.0
Glass (Soda-lime) Var6,70000000000.0,100000000.0
Glass (Borosilicate) Var6,64000000000.0,120000000.0
Fused Silica Var6,72000000000.0,50000000.0
Concrete (Normal Strength) Var6,30000000000.0,30000000.0
Concrete (High Strength) Var6,40000000000.0,60000000.0
Mortar Var6,15000000000.0,15000000.0
Wood (Pine) Var6,8000000000.0,40000000.0
Wood (Douglas Fir) Var6,12000000000.0,50000000.0
Wood (Oak) Var6,11000000000.0,60000000.0
Wood (Maple) Var6,11000000000.0,60000000.0
Wood (Birch) Var6,10500000000.0,55000000.0
Wood (Teak) Var6,12000000000.0,60000000.0
Bamboo Var6,11000000000.0,160000000.0
Carbon Steel A36 Var7,200000000000.0,250000000.0
Carbon Steel 1045 Var7,205000000000.0,530000000.0
Carbon Steel 1095 Var7,205000000000.0,800000000.0
Alloy Steel 4140 (QT) Var7,210000000000.0,655000000.0
Alloy Steel 4340 (QT) Var7,210000000000.0,1000000000.0
HSLA Steel A572 Gr50 Var7,200000000000.0,345000000.0
HSLA Steel A992 Var7,200000000000.0,345000000.0
Tool Steel D2 Var7,210000000000.0,550000000.0
Tool Steel H13 Var7,210000000000.0,1400000000.0
Spring Steel 5160 Var7,205000000000.0,1550000000.0
Stainless Steel 304 Var7,193000000000.0,215000000.0
Stainless Steel 316 Var7,193000000000.0,290000000.0
Stainless Steel 410 Var7,200000000000.0,275000000.0
Stainless Steel 420 Var7,200000000000.0,500000000.0
Stainless Steel 17-4PH Var7,196000000000.0,1100000000.0
Aluminum 1100-O Var7,69000000000.0,34000000.0
Aluminum 2024-T3 Var7,73000000000.0,320000000.0
Aluminum 5052-H32 Var7,70000000000.0,193000000.0
Aluminum 6061-T6 Var7,69000000000.0,270000000.0
Aluminum 7075-T6 Var7,72000000000.0,500000000.0
Titanium Grade 2 Var7,105000000000.0,340000000.0
Titanium Ti-6Al-4V Var7,114000000000.0,880000000.0
Inconel 625 Var7,205000000000.0,760000000.0
Inconel 718 Var7,210000000000.0,1000000000.0
Monel 400 Var7,179000000000.0,170000000.0
Hastelloy C-276 Var7,206000000000.0,350000000.0
Copper C11000 Var7,110000000000.0,70000000.0
Brass 260 Var7,100000000000.0,200000000.0
Bronze (Phosphor) Var7,110000000000.0,240000000.0
Magnesium AZ31B Var7,45000000000.0,200000000.0
Zinc Var7,108000000000.0,55000000.0
Lead Var7,16000000000.0,12000000.0
Tungsten Var7,400000000000.0,550000000.0
Molybdenum Var7,330000000000.0,550000000.0
Beryllium Var7,287000000000.0,240000000.0
ABS Var7,2000000000.0,35000000.0
Acrylic (PMMA) Var7,3200000000.0,60000000.0
Polycarbonate Var7,2300000000.0,70000000.0
Nylon 6/6 Var7,2800000000.0,70000000.0
POM (Delrin) Var7,3000000000.0,69000000.0
PEEK Var7,3600000000.0,90000000.0
HDPE Var7,1000000000.0,25000000.0
LDPE Var7,2000000000.0,20000000.0
PP (Polypropylene) Var7,1500000000.0,30000000.0
PTFE (Teflon) Var7,500000000.0,20000000.0
PVC (Rigid) Var7,2900000000.0,55000000.0
Carbon Fiber/Epoxy (UD) Var7,145000000000.0,600000000.0
Carbon Fiber/Epoxy (Woven) Var7,70000000000.0,400000000.0
Glass Fiber/Epoxy (E-glass) Var7,40000000000.0,350000000.0
Kevlar/Epoxy Var7,70000000000.0,360000000.0
G10/FR4 Var7,24000000000.0,310000000.0
"Alumina (Al2O3, 95%) Var7",300000000000.0,250000000.0
Zirconia (Y-TZP) Var7,210000000000.0,1200000000.0
Silicon Carbide (SiC) Var7,450000000000.0,400000000.0
Silicon Nitride (Si3N4) Var7,305000000000.0,800000000.0
Glass (Soda-lime) Var7,70000000000.0,100000000.0
Glass (Borosilicate) Var7,64000000000.0,120000000.0
Fused Silica Var7,72000000000.0,50000000.0
Concrete (Normal Strength) Var7,30000000000.0,30000000.0
Concrete (High Strength) Var7,40000000000.0,60000000.0
Mortar Var7,15000000000.0,15000000.0
Wood (Pine) Var7,8000000000.0,40000000.0
Wood (Douglas Fir) Var7,12000000000.0,50000000.0
Wood (Oak) Var7,11000000000.0,60000000.0
Wood (Maple) Var7,11000000000.0,60000000.0
Wood (Birch) Var7,10500000000.0,55000000.0
Wood (Teak) Var7,12000000000.0,60000000.0
Bamboo Var7,11000000000.0,160000000.0
